,index,Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min.1,Evap,Solar,ETo,RH max,min.2
SAN_DIEGO.A,222,20020810,2359,0.0,,78,62,,,W,4.0,,,76.0,72.0,,645,0.21,99.6,62.2,
SAN_DIEGO.A,223,20020811,2359,0.0,,74,63,,,S,3.0,,,76.0,73.0,,545,0.17,100.0,75.9,
SAN_DIEGO.A,224,20020812,2359,0.0,,72,62,,,S,3.0,,,77.0,73.0,,604,0.18,100.0,81.5,
SAN_DIEGO.A,225,20020813,2359,0.0,,71,62,,,S,3.0,,,76.0,73.0,,523,0.16,100.0,79.1,
SAN_DIEGO.A,226,20020814,2359,0.0,,72,61,,,SW,3.0,,,76.0,73.0,,586,0.18,100.0,76.2,
SAN_DIEGO.A,227,20020815,2359,0.0,,73,63,,,SW,4.0,,,76.0,73.0,,574,0.18,96.1,72.6,
SAN_DIEGO.A,228,20020816,2359,0.0,,72,63,,,SW,4.0,,,76.0,74.0,,476,0.15,95.0,72.7,
SAN_DIEGO.A,229,20020817,2359,0.0,,72,64,,,SW,4.0,,,75.0,73.0,,386,0.11,90.8,75.5,
SAN_DIEGO.A,230,20020818,2359,0.0,,68,63,,,SW,4.0,,,74.0,73.0,,226,0.05,95.3,81.7,
SAN_DIEGO.A,231,20020819,2359,0.0,,69,62,,,S,4.0,,,73.0,72.0,,263,0.07,99.1,78.7,
SAN_DIEGO.A,232,20020820,2359,0.0,,72,64,,,SW,4.0,,,75.0,72.0,,525,0.16,88.0,70.4,
SAN_DIEGO.A,233,20020821,2359,0.0,,72,64,,,W,4.0,,,75.0,72.0,,584,0.19,84.8,67.9,
SAN_DIEGO.A,234,20020822,2359,0.0,,73,61,,,W,5.0,,,74.0,72.0,,611,0.19,95.3,63.6,
SAN_DIEGO.A,235,20020823,2359,0.0,,76,59,,,NW,5.0,,,74.0,72.0,,609,0.2,98.3,64.1,
SAN_DIEGO.A,236,20020824,2359,0.0,,76,60,,,NW,5.0,,,74.0,71.0,,626,0.2,99.4,63.4,
SAN_DIEGO.A,237,20020825,2359,0.0,,77,59,,,NW,4.0,,,74.0,71.0,,617,0.19,99.5,57.8,
SAN_DIEGO.A,238,20020826,2359,0.0,,74,61,,,W,4.0,,,74.0,72.0,,595,0.18,99.8,72.1,
SAN_DIEGO.A,239,20020827,2359,0.0,,68,61,,,S,5.0,,,74.0,72.0,,500,0.15,100.0,80.8,
